Uncertainty,Type,Construction,Up,Down,Plot,ttH,ttH_PTH_0_60,ttH_PTH_60_120,ttH_PTH_120_200,ttH_PTH_200_300,ttH_PTH_300_450,ttH_PTH_GT450,ttH_hbb,ttH_hnonbb,ttH_hcc,ttH_htt,ttH_hgg,ttH_hgluglu,ttH_hww,ttH_hzz,ttH_hzg,ttlf,ttbb,ttbb_SL,ttbb_DL,ttbb_5FS,ttbb_split,ttb,tt2b,ttcc,singlet,tHW,tHW_hbb,tHW_hcc,tHW_htt,tHW_hgg,tHW_hgluglu,tHW_hww,tHW_hzz,tHW_hzg,tHW_hnonbb,tHq,tHq_hbb,tHq_hcc,tHq_htt,tHq_hgg,tHq_hgluglu,tHq_hww,tHq_hzz,tHq_hzg,tHq_hnonbb,zjets,wjets,ttbarW,ttbarZ,diboson,ttH_PTH_0_60_hbb,ttH_PTH_0_60_hcc,ttH_PTH_0_60_htt,ttH_PTH_0_60_hgg,ttH_PTH_0_60_hgluglu,ttH_PTH_0_60_hww,ttH_PTH_0_60_hzz,ttH_PTH_0_60_hzg,ttH_PTH_60_120_hbb,ttH_PTH_60_120_hcc,ttH_PTH_60_120_htt,ttH_PTH_60_120_hgg,ttH_PTH_60_120_hgluglu,ttH_PTH_60_120_hww,ttH_PTH_60_120_hzz,ttH_PTH_60_120_hzg,ttH_PTH_120_200_hbb,ttH_PTH_120_200_hcc,ttH_PTH_120_200_htt,ttH_PTH_120_200_hgg,ttH_PTH_120_200_hgluglu,ttH_PTH_120_200_hww,ttH_PTH_120_200_hzz,ttH_PTH_120_200_hzg,ttH_PTH_200_300_hbb,ttH_PTH_200_300_hcc,ttH_PTH_200_300_htt,ttH_PTH_200_300_hgg,ttH_PTH_200_300_hgluglu,ttH_PTH_200_300_hww,ttH_PTH_200_300_hzz,ttH_PTH_200_300_hzg,ttH_PTH_300_450_hbb,ttH_PTH_300_450_hcc,ttH_PTH_300_450_htt,ttH_PTH_300_450_hgg,ttH_PTH_300_450_hgluglu,ttH_PTH_300_450_hww,ttH_PTH_300_450_hzz,ttH_PTH_300_450_hzg,ttH_PTH_GT450_hbb,ttH_PTH_GT450_hcc,ttH_PTH_GT450_htt,ttH_PTH_GT450_hgg,ttH_PTH_GT450_hgluglu,ttH_PTH_GT450_hww,ttH_PTH_GT450_hzz,ttH_PTH_GT450_hzg
CMS_scaleBBEC1_j_2017,shape,variation,JESBBEC1yearup,JESBBEC1yeardown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_scaleEC2_j,shape,variation,JESEC2up,JESEC2down,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_scaleEC2_j_2017,shape,variation,JESEC2yearup,JESEC2yeardown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_scaleHF_j,shape,variation,JESHFup,JESHFdown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_scaleHF_j_2017,shape,variation,JESHFyearup,JESHFyeardown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_scaleRelativeBal_j,shape,variation,JESRelativeBalup,JESRelativeBaldown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_scaleRelativeSample_j_2017,shape,variation,JESRelativeSampleyearup,JESRelativeSampleyeardown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_res_j_2017,shape,variation,JERup,JERdown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#CMS_resPt0Eta0_j,shape,variation,JERpt0eta0up,JERpt0eta0down,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#CMS_resPt0Eta1_j,shape,variation,JERpt0eta1up,JERpt0eta1down,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#CMS_resPt1Eta0_j,shape,variation,JERpt1eta0up,JERpt1eta0down,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#CMS_resPt1Eta1_j,shape,variation,JERpt1eta1up,JERpt1eta1down,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#CMS_resEta2_j,shape,variation,JEReta2up,JEReta2down,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_PDF,shape,weight,"""dummyWeight_CMS_ttH_NNPDF_Up_PDF_RELIC:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(fmax(0.0,PDF_RELIC)*internalNormFactors.at(""PDF_RELIC""))*1.0*DOWEIGHTS""",-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,1,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttHbb_PDF_alphaS,shape,weight,"""dummyWeight_CMS_ttH_NNPDF_alphaS_Up_PDF_RELIC:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(fmax(0.0,PDF_RELIC)*internalNormFactors.at(""PDF_RELIC""))*1.0*DOWEIGHTS""",-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,1,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttHbb_PDF_tHq,shape,weight,"""dummyWeight_CMS_ttH_NNPDF_tHq_Up_PDF_RELIC:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*fmax(0.0,PDF_RELIC)*internalNormFactors.at(""PDF_RELIC"")*1.0*DOWEIGHTS""",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CMS_ttHbb_PDF_alphaS_tHq,shape,weight,"""dummyWeight_CMS_ttH_NNPDF_alphaS_tHq_Up_PDF_RELIC:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*fmax(0.0,PDF_RELIC)*internalNormFactors.at(""PDF_RELIC"")*1.0*DOWEIGHTS""",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CMS_ttHbb_PDF_tHW,shape,weight,"""dummyWeight_CMS_ttH_NNPDF_tHW_Up_PDF_RELIC:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*fmax(0.0,PDF_RELIC)*internalNormFactors.at(""PDF_RELIC"")*1.0*DOWEIGHTS""",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CMS_ttHbb_PDF_alphaS_tHW,shape,weight,"""dummyWeight_CMS_ttH_NNPDF_alphaS_tHW_Up_PDF_RELIC:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(fmax(0.0,PDF_RELIC)*internalNormFactors.at(""PDF_RELIC""))*1.0*DOWEIGHTS""",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CMS_ttHbb_PDF_ttbbNLO,shape,weight,"""dummyWeight_CMS_ttH_NNPDF_ttbbNLO_Up_PDF_RELIC:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(fmax(0.0,PDF_RELIC)*internalNormFactors.at(""PDF_RELIC""))*1.0*DOWEIGHTS""",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_scaleMuF_ttbbNLO,shape,weight,"""dummyWeight_CMS_ttH_scaleMuF_ttbbNLO_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MUFUPTTBB)*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuF_ttbbNLO_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MUFDOWNTTBB)*1.0*DOWEIGHTS""",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,1,1,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CMS_ttHbb_scaleMuF,shape,weight,"""dummyWeight_CMS_ttH_scaleMuF_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MUFUPTTNONBB)*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuF_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MUFDOWNTTNONBB)*1.0*DOWEIGHTS""",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CMS_ttHbb_scaleMuF_ttH,shape,weight,"""dummyWeight_CMS_ttH_scaleMuF_ttH_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_1p0_muF_2p0*internalNormFactors.at(""Weight_scale_variation_muR_1p0_muF_2p0"")*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuF_ttH_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_1p0_muF_0p5*internalNormFactors.at(""Weight_scale_variation_muR_1p0_muF_0p5"")*1.0*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttHbb_scaleMuF_tHq,shape,weight,"""dummyWeight_CMS_ttH_scaleMuF_tHq_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_1p0_muF_2p0*internalNormFactors.at(""Weight_scale_variation_muR_1p0_muF_2p0"")*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuF_tHq_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_1p0_muF_0p5*internalNormFactors.at(""Weight_scale_variation_muR_1p0_muF_0p5"")*1.0*DOWEIGHTS""",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CMS_ttHbb_scaleMuF_tHW,shape,weight,"""dummyWeight_CMS_ttH_scaleMuF_tHW_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_1p0_muF_2p0*internalNormFactors.at(""Weight_scale_variation_muR_1p0_muF_2p0"")*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuF_tHW_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_1p0_muF_0p5*internalNormFactors.at(""Weight_scale_variation_muR_1p0_muF_0p5"")*1.0*DOWEIGHTS""",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_scaleMuR,shape,weight,"""dummyWeight_CMS_ttH_scaleMuR_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MURUPTTNONBB)*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuR_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MURDOWNTTNONBB)*1.0*DOWEIGHTS""",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CMS_ttHbb_scaleMuR_ttbbNLO,shape,weight,"""dummyWeight_CMS_ttH_scaleMuR_ttbbNLO_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MURUPTTBB)*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuR_ttbbNLO_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(MURDOWNTTBB)*1.0*DOWEIGHTS""",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,1,1,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CMS_ttHbb_scaleMuR_ttH,shape,weight,"""dummyWeight_CMS_ttH_scaleMuR_ttH_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_2p0_muF_1p0*internalNormFactors.at(""Weight_scale_variation_muR_2p0_muF_1p0"")*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuR_ttH_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_0p5_muF_1p0*internalNormFactors.at(""Weight_scale_variation_muR_0p5_muF_1p0"")*1.0*DOWEIGHTS""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttHbb_scaleMuR_tHq,shape,weight,"""dummyWeight_CMS_ttH_scaleMuR_tHq_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_2p0_muF_1p0*internalNormFactors.at(""Weight_scale_variation_muR_2p0_muF_1p0"")*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuR_tHq_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_0p5_muF_1p0*internalNormFactors.at(""Weight_scale_variation_muR_0p5_muF_1p0"")*1.0*DOWEIGHTS""",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CMS_ttHbb_scaleMuR_tHW,shape,weight,"""dummyWeight_CMS_ttH_scaleMuR_tHW_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_2p0_muF_1p0*internalNormFactors.at(""Weight_scale_variation_muR_2p0_muF_1p0"")*1.0*DOWEIGHTS""","""dummyWeight_CMS_ttH_scaleMuR_tHW_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_0p5_muF_1p0*internalNormFactors.at(""Weight_scale_variation_muR_0p5_muF_1p0"")*1.0*DOWEIGHTS""",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ttH_scale_lowpt,shape,weight,"""dummyWeight_ttH_scale_lowpt_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_2p0_muF_2p0*BOTHUP_STXS*1.0*DOWEIGHTS""","""dummyWeight_ttH_scale_lowpt_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_0p5_muF_0p5*BOTHDOWN_STXS*1.0*DOWEIGHTS""",1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
ttH_scale_highpt,shape,weight,"""dummyWeight_ttH_scale_highpt_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_2p0_muF_2p0*BOTHUP_STXS*1.0*DOWEIGHTS""","""dummyWeight_ttH_scale_highpt_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*Weight_scale_variation_muR_0p5_muF_0p5*BOTHDOWN_STXS*1.0*DOWEIGHTS""",1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ttH_ISR_lowpt,shape,weight,"""dummyWeight_ttH_ISR_lowpt_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_up*ISRUP_STXS*1.0*DOWEIGHTS""","""dummyWeight_ttH_ISR_lowpt_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_down*ISRDOWN_STXS*1.0*DOWEIGHTS""",1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
ttH_ISR_highpt,shape,weight,"""dummyWeight_ttH_ISR_highpt_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_up*ISRUP_STXS*1.0*DOWEIGHTS""","""dummyWeight_ttH_ISR_highpt_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_down*ISRDOWN_STXS*1.0*DOWEIGHTS""",1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ttH_FSR_lowpt,shape,weight,"""dummyWeight_ttH_FSR_lowpt_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_up*FSRUP_STXS*1.0*DOWEIGHTS""","""dummyWeight_ttH_FSR_lowpt_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_down*FSRDOWN_STXS*1.0*DOWEIGHTS""",1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
ttH_FSR_highpt,shape,weight,"""dummyWeight_ttH_FSR_highpt_Up:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_up*FSRUP_STXS*1.0*DOWEIGHTS""","""dummyWeight_ttH_FSR_highpt_Down:=DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_down*FSRDOWN_STXS*1.0*DOWEIGHTS""",1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
